,psi
 Operating profit per person,0.02041946794265411
 Working Capital to Total Assets,0.0195718279912588
 Cash flow rate,0.019144930844944084
 Non-industry income and expenditure/revenue,0.01869752925283853
 Quick Assets/Total Assets,0.017546817741932657
 Working Capital/Equity,0.017045418537416986
 Current Liability to Current Assets,0.016758301071095803
 Current Ratio,0.016512614518271847
 Inventory/Working Capital,0.015298685824078676
 Tax rate (A),0.015177412158996584
 Total Asset Turnover,0.012602991441176473
 Inventory Turnover Rate (times),0.012299012416101112
 Total expense/Assets,0.012175116979308153
 ROA(C) before interest and depreciation before interest,0.012050396061514632
 Net Value Per Share (B),0.012020686435064237
